Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
26.03.,Perfetti N.,2,,,,,,[],"['1', '0', '2', '1', '4', '1', '6', '3']","['1', '1', '3', '1']",[],[],1.40
23.04.2024,Reitano S.,0,,,,,,"['1', '0']",[],[],[],[],2.83
23.04.2024,Potenza L.,0,,,,,,"['1', '1', '3', '1']",[],[],[],[],1.39
10.04.2024,Potenza L.,2,,,,,,"['1', '0', '4', '1']","['1', '0', '3', '0', '5', '2']",[],[],[],1.41
10.04.2024,Reitano S.,0,,,,,,[],"['1', '3']",[],[],[],2.75
08.04.2024,Reitano S.,2,,,,,,"['2', '1', '5', '2']",[],"['2', '0', '5', '1']",[],[],2.68
08.04.2024,Kumar O.,1,,,,,,[],"['2', '0', '5', '1']","['2', '5', '4', '5']",[],[],1.43
03.04.2024,Ferrari G.,2,,,,,,"['1', '0']","['3', '1', '5', '1', '6', '2']","['2', '0', '4', '0', '6', '0']",[],[],1.37
03.04.2024,Reitano S.,1,,,,,,"['1', '1', '3', '1', '5', '1']","['2', '5']",[],[],[],2.92
02.04.2024,Reitano S.,2,,,,,,"['2', '0', '4', '0', '6', '0']",[],"['2', '1', '4', '1', '6', '3']",[],[],1.49
02.04.2024,D'Agostino S.,1,,,,,,[],"['2', '1', '6', '3']","['3', '5']",[],[],2.50
26.03.2024,Serdarusic N.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '0', '5', '4']",[],[],[],1.08
26.03.2024,Reitano S.,0,,,,,,[],"['4', '4']",[],[],[],7.01
30.11.2023,Pennaforti G.,2,,,,,,"['1', '0', '4', '1']","['1', '0', '6', '5']",[],[],[],1.16
30.11.2023,Reitano S.,0,,,,,,[],"['3', '3']",[],[],[],4.71
29.11.2023,Reitano S.,2,,,,,,"['1', '2', '2', '3']","['3', '3', '5', '5', '7', '5']","['3', '1', '4', '2', '6', '4']",[],[],2.43
29.11.2023,Tammaro M.,1,,,,,,"['2', '0', '3', '1', '5', '3']","['2', '1', '4', '3']","['2', '3', '4', '5']",[],[],1.51
28.11.2023,Reitano S.,2,,,,,,"['1', '2', '4', '3', '6', '3']","['2', '0', '3', '1', '5', '1']",[],[],[],1.34
28.11.2023,Agostini S.,0,,,,,,"['2', '0']","['1', '2', '2', '5']",[],[],[],3.08
31.10.2023,Napolitano S.,2,,,,,,"['1', '0', '3', '0']","['1', '0']",[],[],[],1.04
31.10.2023,Reitano S.,0,,,,,,[],"['4', '4']",[],[],[],8.70
18.10.2023,Michalski D.,2,,,,,,"['1', '0', '4', '1', '5', '2', '6', '5']","['1', '1', '3', '1', '5', '1']",[],[],[],1.06
18.10.2023,Reitano S.,0,,,,,,"['2', '4', '3', '5', '5', '5', '6', '6']","['1', '0']",[],[],[],7.41
17.10.2023,Reitano S.,2,,,,,,"['1', '1', '3', '1', '5', '1']",[],"['1', '2']",[],[],6.06
17.10.2023,Gadamauri B.,1,,,,,,"['1', '0']","['2', '0', '4', '0', '6', '0']","['2', '0']",[],[],1.10
03.10.2023,Serafini M.,2,,,,,,[],"['1', '0', '6', '5']","['2', '1', '4', '1', '6', '3']",[],[],1.13
03.10.2023,Reitano S.,1,,,,,,"['1', '0', '3', '0', '6', '1']","['3', '3']","['3', '5']",[],[],5.41
03.09.2023,Debru G.,2,,,,,,4,9,55%,70% (35/50),44% (18/41),77% (10/13),38% (14/37),55% (22/40),50% (4/8),58% (53/91),47% (36/77),53% (89/168),82% (9/11),27% (3/11),55% (12/22),"['1', '1', '6', '4']","['4', '4']",[],[],[],1.05
03.09.2023,Reitano S.,0,,,,,,1,8,48%,62% (23/37),45% (18/40),50% (4/8),30% (15/50),56% (23/41),23% (3/13),53% (41/77),42% (38/91),47% (79/168),73% (8/11),18% (2/11),45% (10/22),"['1', '0']","['2', '1']",[],[],[],8.65
