Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
19.08.,Paul J.,2,,,,,,2,2,60%,68% (19/28),79% (15/19),100% (1/1),23% (5/22),74% (17/23),80% (4/5),16,26,50% (2/4),72% (34/47),49% (22/45),61% (56/92),5,0,100% (8/8),50% (4/8),75% (12/16),"['3', '2', '5', '2']","['1', '0', '4', '1']",[],[],[],20.5
19.08.,Wendelken H.,0,,,,,,1,3,49%,77% (17/22),26% (6/23),20% (1/5),32% (9/28),21% (4/19),0% (0/1),5,33,50% (1/2),51% (23/45),28% (13/47),39% (36/92),5,1,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],1.73
18.08.,Wendelken H.,2,,,,,,3,1,54%,65% (20/31),58% (15/26),50% (2/4),53% (17/32),71% (15/21),67% (6/9),11,19,75% (6/8),61% (35/57),60% (32/53),61% (67/110),7,0,75% (6/8),75% (6/8),75% (12/16),"['1', '1', '4', '2', '6', '2']","['2', '0', '4', '0', '6', '2']",[],[],[],19.0
18.08.,Raquillet L.,0,,,,,,1,6,60%,47% (15/32),29% (6/21),33% (3/9),35% (11/31),42% (11/26),50% (2/4),16,44,67% (4/6),40% (21/53),39% (22/57),39% (43/110),3,0,25% (2/8),25% (2/8),25% (4/16),"['1', '0']","['1', '4']",[],[],[],1.68
17.08.,Wendelken H.,2,,,,,,1,1,67%,73% (19/26),85% (11/13),0% (0/1),56% (24/43),42% (11/26),38% (5/13),9,28,100% (2/2),77% (30/39),51% (35/69),60% (65/108),7,0,88% (7/8),56% (5/9),71% (12/17),"['3', '2', '4', '3']","['2', '1', '4', '1', '6', '1']",[],[],[],0
17.08.,Nouchakis G.,0,,,,,,1,0,62%,44% (19/43),58% (15/26),62% (8/13),27% (7/26),15% (2/13),100% (1/1),5,47,38% (3/8),49% (34/69),23% (9/39),40% (43/108),3,1,44% (4/9),13% (1/8),29% (5/17),"['3', '3']",[],[],[],[],0
14.08.,Jodar R.,2,,,,,,10,4,59%,85% (39/46),38% (12/32),71% (5/7),48% (25/52),37% (10/27),38% (5/13),34,54,83% (10/12),65% (51/78),44% (35/79),55% (86/157),7,0,85% (11/13),42% (5/12),64% (16/25),"['2', '0', '4', '0', '6', '0']",[],"['2', '0', '5', '3']",[],[],19.5
14.08.,Wendelken H.,1,,,,,,2,1,66%,52% (27/52),63% (17/27),62% (8/13),15% (7/46),63% (20/32),29% (2/7),12,32,50% (3/6),56% (44/79),35% (27/78),45% (71/157),3,0,58% (7/12),15% (2/13),36% (9/25),[],"['3', '2']","['2', '3']",[],[],1.61
13.08.,Wendelken H.,2,,,,,,0,4,60%,57% (27/47),55% (17/31),56% (5/9),37% (19/51),59% (20/34),40% (6/15),10,33,67% (2/3),56% (44/78),46% (39/85),51% (83/163),6,0,67% (8/12),46% (6/13),56% (14/25),"['1', '0']","['3', '2', '5', '2']","['2', '1', '4', '1', '6', '3']",[],[],20.5
13.08.,Ivashka I.,1,,,,,,3,5,60%,63% (32/51),41% (14/34),60% (9/15),43% (20/47),45% (14/31),44% (4/9),32,65,75% (9/12),54% (46/85),44% (34/78),49% (80/163),4,1,54% (7/13),33% (4/12),44% (11/25),"['1', '1', '3', '1', '6', '2']",[],"['3', '5']",[],[],1.64
12.08.,Wendelken H.,2,,,,,,0,1,63%,61% (20/33),68% (13/19),50% (2/4),43% (18/42),62% (18/29),67% (6/9),7,31,50% (7/14),63% (33/52),51% (36/71),56% (69/123),7,0,78% (7/9),60% (6/10),68% (13/19),"['1', '0', '3', '0', '4', '1', '6', '1']","['4', '4', '7', '5']",[],[],[],19.5
12.08.,Poullain L.,0,,,,,,1,1,59%,57% (24/42),38% (11/29),33% (3/9),39% (13/33),32% (6/19),50% (2/4),15,50,62% (8/13),49% (35/71),37% (19/52),44% (54/123),3,0,40% (4/10),22% (2/9),32% (6/19),"['1', '3']","['2', '1']",[],[],[],1.38
08.08.,Searle H.,2,,,,,,[],"['2', '2', '3', '3', '6', '4']","['2', '0', '5', '1']",[],[],20.5
07.05.,Wendelken H.,2,,,,,,"['1', '0', '3', '0', '5', '2']","['3', '2', '6', '3']",[],[],[],1.18
07.05.,Sakharov G.,0,,,,,,"['1', '3', '3', '5']",[],[],[],[],4.38
01.05.,Henning P.,2,,,,,,"['3', '3', '5', '3']","['2', '1', '5', '2']",[],[],[],1.58
01.05.,Wendelken H.,0,,,,,,"['2', '1']",[],[],[],[],2.26
29.04.,Wendelken H.,2,,,,,,"['3', '2']","['4', '4']",[],[],[],2.04
29.04.,Story J.,0,,,,,,"['5', '5']","['2', '1']",[],[],[],1.69
24.04.,Reymond A.,2,,,,,,"['2', '0']","['3', '2', '5', '2']",[],[],[],1.66
24.04.,Wendelken H.,0,,,,,,[],[],[],[],[],2.11
23.04.,Wendelken H.,2,,,,,,"['1', '0', '4', '1']","['1', '0', '5', '2', '6', '3']",[],[],[],2.10
23.04.,Malige M.,0,,,,,,[],"['3', '5']",[],[],[],1.67
28.03.,Massard L.,1,,,,,,[],"['3', '1']","['2', '1', '4', '1']",[],[],2.16
28.03.,Wendelken H.,1,,,,,,"['6', '5']",[],[],[],[],1.63
27.03.,Wendelken H.,2,,,,,,"['1', '0', '5', '2']","['1', '0']",[],[],[],1.42
27.03.,Handel T.,0,,,,,,[],[],[],[],[],2.69
26.03.,Wendelken H.,2,,,,,,"['2', '3', '5', '4']","['3', '2']",[],[],[],1.10
26.03.,Genier T.,0,,,,,,"['3', '1']",[],[],[],[],5.90
23.03.,Wendelken H.,2,,,,,,"['4', '2']","['1', '0', '5', '4']","['1', '0', '6', '5']",[],[],2.24
23.03.,Malige M.,1,,,,,,"['3', '4']","['3', '3']","['1', '1']",[],[],1.59
22.03.,Wendelken H.,1,,,,,,"['4', '3', '6', '3']","['2', '0']",[],[],[],2.26
22.03.,Gerasimov E.,0,,,,,,[],[],[],[],[],1.58
21.03.,Wendelken H.,2,,,,,,"['3', '3', '6', '4']","['2', '0', '7', '5']",[],[],[],2.36
21.03.,Perot R.,0,,,,,,"['3', '2']","['4', '5']",[],[],[],1.55
20.03.,Wendelken H.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['2', '0', '4', '0', '6', '0']",[],[],[],3.03
20.03.,Escoffier A.,0,,,,,,[],[],[],[],[],1.34
19.03.,Wendelken H.,2,,,,,,"['2', '1', '4', '1']","['1', '0', '3', '0', '6', '1']",[],[],[],2.44
19.03.,Added D.,0,,,,,,[],[],[],[],[],1.50
08.03.,Boitan G. A.,2,,,,,,"['2', '1', '4', '3', '6', '3']","['1', '1', '4', '4', '5', '5', '7', '5']",[],[],[],1.62
08.03.,Wendelken H.,0,,,,,,"['2', '2']","['1', '0', '3', '2', '5', '4']",[],[],[],2.18
06.03.,Wendelken H.,2,,,,,,"['2', '3']","['1', '0', '3', '0']","['1', '0', '4', '1']",[],[],2.69
06.03.,Molcan A.,1,,,,,,"['2', '0', '7', '5']",[],"['3', '5']",[],[],1.42
27.02.,Boitan G. A.,2,,,,,,"['2', '0', '5', '1']","['1', '0', '3', '4', '6', '5']",[],[],[],1.69
27.02.,Wendelken H.,0,,,,,,[],"['1', '1', '3', '1']",[],[],[],2.04
25.02.,Wendelken H.,2,,,,,,"['2', '1', '4', '1']","['1', '0', '2', '3', '5', '4']",[],[],[],1.36
25.02.,Hannestad B.,0,,,,,,[],"['1', '1', '3', '1']",[],[],[],2.94
19.02.,Yevseyev D.,2,,,,,,4,3,52%,77% (24/31),66% (19/29),67% (2/3),31% (11/36),54% (15/28),50% (3/6),72% (43/60),41% (26/64),56% (69/124),7,0,91% (10/11),30% (3/10),62% (13/21),"['7', '5']","['3', '3', '5', '3']",[],[],[],1.40
19.02.,Wendelken H.,0,,,,,,5,3,56%,69% (25/36),46% (13/28),50% (3/6),23% (7/31),34% (10/29),33% (1/3),59% (38/64),28% (17/60),44% (55/124),3,1,70% (7/10),9% (1/11),38% (8/21),[],"['2', '1']",[],[],[],2.81
17.02.,Wendelken H.,2,,,,,,2,2,48%,68% (15/22),75% (18/24),100% (2/2),36% (13/36),62% (18/29),44% (4/9),72% (33/46),48% (31/65),58% (64/111),7,0,100% (8/8),44% (4/9),71% (12/17),"['1', '0', '4', '1']","['1', '0', '6', '3']",[],[],[],2.77
17.02.,Hussey G.,0,,,,,,2,3,55%,64% (23/36),38% (11/29),56% (5/9),32% (7/22),25% (6/24),0% (0/2),52% (34/65),28% (13/46),42% (47/111),3,0,56% (5/9),0% (0/8),29% (5/17),[],[],[],[],[],1.41
16.02.,Wendelken H.,2,,,,,,1,1,60%,74% (20/27),61% (11/18),75% (3/4),53% (21/40),70% (7/10),50% (5/10),69% (31/45),56% (28/50),62% (59/95),5,0,88% (7/8),63% (5/8),75% (12/16),"['1', '0', '3', '0', '5', '0']","['2', '1', '4', '3']",[],[],[],2.19
16.02.,Mott B.,0,,,,,,2,1,80%,48% (19/40),30% (3/10),50% (5/10),26% (7/27),39% (7/18),25% (1/4),44% (22/50),31% (14/45),38% (36/95),5,1,38% (3/8),13% (1/8),25% (4/16),[],"['2', '2']",[],[],[],1.63
12.02.,Loffhagen G.,2,,,,,,"['4', '3']","['2', '1']","['1', '0', '5', '2']",[],[],1.18
12.02.,Wendelken H.,1,,,,,,[],"['3', '3', '6', '4']",[],[],[],4.33
28.01.,Pokorny L.,2,,,,,,"['6', '4']","['2', '0', '4', '0']",[],[],[],1.42
28.01.,Wendelken H.,0,,,,,,[],[],[],[],[],2.69
23.01.,Hussey G.,2,,,,,,"['1', '0', '3', '4', '6', '5']","['1', '0', '3', '0', '5', '0']",[],[],[],1.58
23.01.,Wendelken H.,0,,,,,,"['1', '1', '3', '1']",[],[],[],[],2.26
21.01.,Wendelken H.,2,,,,,,"['1', '0', '3', '0']","['2', '1', '4', '1', '6', '1']",[],[],[],1.20
21.01.,Hooper L.,0,,,,,,[],[],[],[],[],4.13
