Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
13.08.,Zhang M.,2,,,,,,"['4', '2']","['1', '0', '6', '5']","['1', '0', '3', '0', '6', '1']",[],[],19.0
09.10.2023,Te R.,2,,,,,,4,1,65%,68% (23/34),56% (10/18),86% (6/7),54% (15/28),60% (9/15),83% (5/6),63% (33/52),56% (24/43),60% (57/95),88% (7/8),63% (5/8),75% (12/16),"['1', '0', '3', '0', '5', '0']","['2', '1', '5', '4']",[],[],[],1.06
09.10.2023,Chen X. D.,0,,,,,,0,1,65%,46% (13/28),40% (6/15),17% (1/6),32% (11/34),44% (8/18),14% (1/7),44% (19/43),37% (19/52),40% (38/95),38% (3/8),13% (1/8),25% (4/16),[],"['4', '4']",[],[],[],8.25
10.09.2023,Haliak M.,2,,,,,,3,0,71%,86% (25/29),67% (8/12),100% (1/1),49% (17/35),54% (7/13),57% (4/7),80% (33/41),50% (24/48),64% (57/89),100% (8/8),50% (4/8),75% (12/16),"['3', '2', '5', '2']","['3', '2', '5', '2']",[],[],[],1.04
10.09.2023,Chen X. D.,0,,,,,,0,1,73%,51% (18/35),46% (6/13),43% (3/7),14% (4/29),33% (4/12),0% (0/1),50% (24/48),20% (8/41),36% (32/89),50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],9.30
05.07.2023,Trongcharoenchaikul W.,2,,,,,,[],[],[],[],[],1.69
05.07.2023,Chen X. D.,0,,,,,,[],[],[],[],[],2.05
29.06.2023,Huang T.,2,,,,,,[],[],[],[],[],-
29.06.2023,Chen X. D.,1,,,,,,[],[],[],[],[],-
28.06.2023,Chen X. D.,2,,,,,,[],[],[],[],[],-
28.06.2023,Chang Tsu Li,0,,,,,,[],[],[],[],[],-
