18.05.,Sell K.,2,,,,,,3,3,60%,69% (38/55),54% (20/37),50% (3/6),24% (13/54),54% (15/28),50% (3/6),17,38,86% (12/14),63% (58/92),34% (28/82),49% (86/174),4,0,80% (12/15),21% (3/14),52% (15/29),[],[],[],[],[],0
18.05.,Bertola R.,1,,,,,,6,4,66%,76% (41/54),46% (13/28),50% (3/6),31% (17/55),46% (17/37),50% (3/6),24,34,57% (4/7),66% (54/82),37% (34/92),51% (88/174),6,2,79% (11/14),20% (3/15),48% (14/29),[],[],[],[],[],0
17.05.,Sell K.,2,,,,,,2,2,56%,73% (37/51),60% (24/40),75% (6/8),33% (18/55),49% (18/37),57% (4/7),14,36,58% (7/12),67% (61/91),39% (36/92),53% (97/183),6,0,86% (12/14),29% (4/14),57% (16/28),[],[],[],[],[],0
17.05.,Herbert P.,1,,,,,,8,8,60%,67% (37/55),51% (19/37),43% (3/7),27% (14/51),40% (16/40),25% (2/8),26,59,89% (8/9),61% (56/92),33% (30/91),47% (86/183),4,0,71% (10/14),14% (2/14),43% (12/28),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Bogota (Colombia),clay,header
13.05.,Sell K.,1,,,,,,8,9,45%,68% (28/41),43% (22/51),69% (11/16),34% (20/58),35% (6/17),50% (2/4),54% (50/92),35% (26/75),46% (76/167),4,1,62% (8/13),17% (2/12),40% (10/25),[],[],[],[],[],0
13.05.,Kolar Z.,2,,,,,,1,2,77%,66% (38/58),65% (11/17),50% (2/4),32% (13/41),57% (29/51),31% (5/16),65% (49/75),46% (42/92),54% (91/167),6,0,83% (10/12),38% (5/13),60% (15/25),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Sarasota (USA),clay,header
07.04.,Sell K.,0,,,,,,1,5,45%,65% (13/20),38% (9/24),80% (8/10),33% (3/9),64% (7/11),100% (2/2),50% (22/44),50% (10/20),50% (32/64),5,0,50% (2/4),50% (2/4),50% (4/8),[],[],[],[],[],0
07.04.,Robertson C.,0,,,,,,0,2,45%,67% (6/9),36% (4/11),0% (0/2),35% (7/20),63% (15/24),20% (2/10),50% (10/20),50% (22/44),50% (32/64),5,0,50% (2/4),50% (2/4),50% (4/8),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Santiago (Chile),clay,header
10.03.,Sell K.,0,,,,,,6,4,56%,63% (25/40),32% (10/31),55% (6/11),34% (11/32),41% (9/22),67% (2/3),49% (35/71),37% (20/54),44% (55/125),2,0,44% (4/9),22% (2/9),33% (6/18),[],[],[],[],[],0
10.03.,Dellien Velasco M. A.,2,,,,,,0,2,59%,66% (21/32),59% (13/22),33% (1/3),38% (15/40),68% (21/31),45% (5/11),63% (34/54),51% (36/71),56% (70/125),8,0,78% (7/9),56% (5/9),67% (12/18),[],[],[],[],[],0
CHALLENGER MEN - SINGLES San Diego (USA),hard,header
25.02.,Sell K.,0,,,,,,0,3,55%,62% (18/29),29% (7/24),44% (4/9),21% (6/28),50% (10/20),40% (2/5),47% (25/53),33% (16/48),41% (41/101),4,2,44% (4/9),22% (2/9),33% (6/18),[],[],[],[],[],0
25.02.,McDonald M.,2,,,,,,2,4,58%,79% (22/28),50% (10/20),60% (3/5),38% (11/29),71% (17/24),56% (5/9),67% (32/48),53% (28/53),59% (60/101),6,0,78% (7/9),56% (5/9),67% (12/18),[],[],[],[],[],0
ATP - SINGLES Rio de Janeiro (Brazil) - Qualification,clay,header
16.02.,Sell K.,1,,,,,,6,5,59%,69% (40/58),50% (20/40),50% (3/6),26% (17/65),44% (7/16),67% (2/3),61% (60/98),30% (24/81),47% (84/179),5,1,80% (12/15),13% (2/15),47% (14/30),[],[],[],[],[],0
16.02.,Ugo Carabelli C.,2,,,,,,0,2,80%,74% (48/65),56% (9/16),33% (1/3),31% (18/58),50% (20/40),50% (3/6),70% (57/81),39% (38/98),53% (95/179),5,0,87% (13/15),20% (3/15),53% (16/30),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Cleveland (USA),hard,header
01.02.,Sell K.,0,,,,,,3,6,51%,72% (23/32),45% (14/31),40% (2/5),17% (7/41),21% (3/14),100% (1/1),59% (37/63),18% (10/55),40% (47/118),4,1,70% (7/10),10% (1/10),40% (8/20),[],[],[],[],[],0
01.02.,Smith C.,2,,,,,,9,0,75%,83% (34/41),79% (11/14),0% (0/1),28% (9/32),55% (17/31),60% (3/5),82% (45/55),41% (26/63),60% (71/118),6,0,90% (9/10),30% (3/10),60% (12/20),[],[],[],[],[],0
30.01.,Sell K.,2,,,,,,5,1,56%,81% (25/31),67% (16/24),0% (0/0),29% (12/41),50% (13/26),67% (2/3),75% (41/55),37% (25/67),54% (66/122),5,0,100% (10/10),20% (2/10),60% (12/20),[],[],[],[],[],0
30.01.,Kingsley C.,0,,,,,,6,1,61%,71% (29/41),50% (13/26),33% (1/3),19% (6/31),33% (8/24),0% (0/0),63% (42/67),25% (14/55),46% (56/122),5,0,80% (8/10),0% (0/10),40% (8/20),[],[],[],[],[],0
29.01.,Sell K.,2,,,,,,5,3,66%,78% (36/46),54% (13/24),100% (4/4),21% (8/38),57% (26/46),25% (2/8),70% (49/70),40% (34/84),54% (83/154),6,0,100% (10/10),18% (2/11),57% (12/21),[],[],[],[],[],0
29.01.,Ayeni A.,0,,,,,,13,8,45%,79% (30/38),43% (20/46),75% (6/8),22% (10/46),46% (11/24),0% (0/4),60% (50/84),30% (21/70),46% (71/154),4,0,82% (9/11),0% (0/10),43% (9/21),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Oeiras 2 (Portugal) - Qualification,hard,header
13.01.,Sell K.,1,,,,,,10,4,51%,71% (35/49),38% (18/48),45% (5/11),25% (13/52),55% (17/31),60% (3/5),55% (53/97),36% (30/83),46% (83/180),2,1,60% (9/15),21% (3/14),41% (12/29),[],[],[],[],[],0
13.01.,Ovcharenko O.,2,,,,,,1,3,63%,75% (39/52),45% (14/31),40% (2/5),29% (14/49),63% (30/48),55% (6/11),64% (53/83),45% (44/97),54% (97/180),8,0,79% (11/14),40% (6/15),59% (17/29),[],[],[],[],[],0
12.01.,Sell K.,2,,,,,,3,6,49%,83% (25/30),48% (15/31),75% (3/4),47% (14/30),68% (13/19),67% (4/6),66% (40/61),55% (27/49),61% (67/110),8,0,89% (8/9),50% (4/8),71% (12/17),[],[],[],[],[],0
12.01.,Luis T.,0,,,,,,2,2,61%,53% (16/30),32% (6/19),33% (2/6),17% (5/30),52% (16/31),25% (1/4),45% (22/49),34% (21/61),39% (43/110),2,0,50% (4/8),11% (1/9),29% (5/17),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Oeiras (Portugal),hard,header
08.01.,Sell K.,0,,,,,,4,1,59%,59% (19/32),45% (10/22),33% (2/6),30% (12/40),55% (11/20),67% (2/3),54% (29/54),38% (23/60),46% (52/114),4,1,60% (6/10),20% (2/10),40% (8/20),[],[],[],[],[],0
08.01.,Molleker R.,2,,,,,,9,2,67%,70% (28/40),45% (9/20),33% (1/3),41% (13/32),55% (12/22),67% (4/6),62% (37/60),46% (25/54),54% (62/114),6,0,80% (8/10),40% (4/10),60% (12/20),[],[],[],[],[],0
06.01.,Sell K.,2,,,,,,6,2,57%,85% (22/26),70% (14/20),0% (0/0),40% (12/30),55% (11/20),100% (3/3),78% (36/46),46% (23/50),61% (59/96),5,0,100% (9/9),38% (3/8),71% (12/17),[],[],[],[],[],0
06.01.,Bertrand R.,0,,,,,,0,1,60%,60% (18/30),45% (9/20),0% (0/3),15% (4/26),30% (6/20),0% (0/0),54% (27/50),22% (10/46),39% (37/96),5,0,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Drummondville (Canada),hard,header
07.04. 23:30,Sell K.,0,4,,,,,1,5,45%,65% (13/20),38% (9/24),80% (8/10),33% (3/9),64% (7/11),100% (2/2),50% (22/44),50% (10/20),50% (32/64),5,0,50% (2/4),50% (2/4),50% (4/8),[],[],[],[],[],1.27
07.04. 23:30,Robertson C.,0,4,,,,,0,2,45%,67% (6/9),36% (4/11),0% (0/2),35% (7/20),63% (15/24),20% (2/10),50% (10/20),50% (22/44),50% (32/64),5,0,50% (2/4),50% (2/4),50% (4/8),[],[],[],[],[],3.80
CHALLENGER MEN - SINGLES :  Santiago (Chile),clay,header
10.03. 23:40,Sell K.,0,2,4,,,,6,4,56%,63% (25/40),32% (10/31),55% (6/11),34% (11/32),41% (9/22),67% (2/3),49% (35/71),37% (20/54),44% (55/125),2,0,44% (4/9),22% (2/9),33% (6/18),[],[],[],[],[],2.07
10.03. 23:40,Dellien Velasco M. A.,2,6,6,,,,0,2,59%,66% (21/32),59% (13/22),33% (1/3),38% (15/40),68% (21/31),45% (5/11),63% (34/54),51% (36/71),56% (70/125),8,0,78% (7/9),56% (5/9),67% (12/18),[],[],[],[],[],1.69
CHALLENGER MEN - SINGLES :  San Diego (USA),hard,header
25.02. 04:25,Sell K.,0,3,3,,,,0,3,55%,62% (18/29),29% (7/24),44% (4/9),21% (6/28),50% (10/20),40% (2/5),47% (25/53),33% (16/48),41% (41/101),4,2,44% (4/9),22% (2/9),33% (6/18),[],[],[],[],[],3.88
25.02. 04:25,McDonald M.,2,6,6,,,,2,4,58%,79% (22/28),50% (10/20),60% (3/5),38% (11/29),71% (17/24),56% (5/9),67% (32/48),53% (28/53),59% (60/101),6,0,78% (7/9),56% (5/9),67% (12/18),[],[],[],[],[],1.23
ATP - SINGLES :  Rio de Janeiro (Brazil) - Qualification,clay,header
16.02. 02:55,Sell K.,1,4,6,4,,,6,5,59%,69% (40/58),50% (20/40),50% (3/6),26% (17/65),44% (7/16),67% (2/3),61% (60/98),30% (24/81),47% (84/179),5,1,80% (12/15),13% (2/15),47% (14/30),[],[],[],[],[],3.88
16.02. 02:55,Ugo Carabelli C.,2,6,4,6,,,0,2,80%,74% (48/65),56% (9/16),33% (1/3),31% (18/58),50% (20/40),50% (3/6),70% (57/81),39% (38/98),53% (95/179),5,0,87% (13/15),20% (3/15),53% (16/30),[],[],[],[],[],1.23
CHALLENGER MEN - SINGLES :  Cleveland (USA),hard,header
01.02. 07:10,Sell K.,0,6^4,2,,,,3,6,51%,72% (23/32),45% (14/31),40% (2/5),17% (7/41),21% (3/14),100% (1/1),59% (37/63),18% (10/55),40% (47/118),4,1,70% (7/10),10% (1/10),40% (8/20),[],[],[],[],[],1.96
01.02. 07:10,Smith C.,2,7^7,6,,,,9,0,75%,83% (34/41),79% (11/14),0% (0/1),28% (9/32),55% (17/31),60% (3/5),82% (45/55),41% (26/63),60% (71/118),6,0,90% (9/10),30% (3/10),60% (12/20),[],[],[],[],[],1.77
30.01. 21:40,Sell K.,2,6,6,,,,5,1,56%,81% (25/31),67% (16/24),0% (0/0),29% (12/41),50% (13/26),67% (2/3),75% (41/55),37% (25/67),54% (66/122),5,0,100% (10/10),20% (2/10),60% (12/20),[],[],[],[],[],1.56
30.01. 21:40,Kingsley C.,0,4,4,,,,6,1,61%,71% (29/41),50% (13/26),33% (1/3),19% (6/31),33% (8/24),0% (0/0),63% (42/67),25% (14/55),46% (56/122),5,0,80% (8/10),0% (0/10),40% (8/20),[],[],[],[],[],2.33
29.01. 05:40,Sell K.,2,6,7^7,,,,5,3,66%,78% (36/46),54% (13/24),100% (4/4),21% (8/38),57% (26/46),25% (2/8),70% (49/70),40% (34/84),54% (83/154),6,0,100% (10/10),18% (2/11),57% (12/21),[],[],[],[],[],1.15
29.01. 05:40,Ayeni A.,0,3,6^5,,,,13,8,45%,79% (30/38),43% (20/46),75% (6/8),22% (10/46),46% (11/24),0% (0/4),60% (50/84),30% (21/70),46% (71/154),4,0,82% (9/11),0% (0/10),43% (9/21),[],[],[],[],[],4.85
CHALLENGER MEN - SINGLES :  Oeiras 2 (Portugal) - Qualification,hard,header
13.01. 16:40,Sell K.,1,3,7,2,,,10,4,51%,71% (35/49),38% (18/48),45% (5/11),25% (13/52),55% (17/31),60% (3/5),55% (53/97),36% (30/83),46% (83/180),2,1,60% (9/15),21% (3/14),41% (12/29),[],[],[],[],[],1.33
13.01. 16:40,Ovcharenko O.,2,6,5,6,,,1,3,63%,75% (39/52),45% (14/31),40% (2/5),29% (14/49),63% (30/48),55% (6/11),64% (53/83),45% (44/97),54% (97/180),8,0,79% (11/14),40% (6/15),59% (17/29),[],[],[],[],[],3.14
12.01. 17:55,Sell K.,2,6,6,,,,3,6,49%,83% (25/30),48% (15/31),75% (3/4),47% (14/30),68% (13/19),67% (4/6),66% (40/61),55% (27/49),61% (67/110),8,0,89% (8/9),50% (4/8),71% (12/17),[],[],[],[],[],1.04
12.01. 17:55,Luis T.,0,4,1,,,,2,2,61%,53% (16/30),32% (6/19),33% (2/6),17% (5/30),52% (16/31),25% (1/4),45% (22/49),34% (21/61),39% (43/110),2,0,50% (4/8),11% (1/9),29% (5/17),[],[],[],[],[],9.00
CHALLENGER MEN - SINGLES :  Oeiras (Portugal),hard,header
08.01. 23:50,Sell K.,0,4,4,,,,4,1,59%,59% (19/32),45% (10/22),33% (2/6),30% (12/40),55% (11/20),67% (2/3),54% (29/54),38% (23/60),46% (52/114),4,1,60% (6/10),20% (2/10),40% (8/20),[],[],[],[],[],1.48
08.01. 23:50,Molleker R.,2,6,6,,,,9,2,67%,70% (28/40),45% (9/20),33% (1/3),41% (13/32),55% (12/22),67% (4/6),62% (37/60),46% (25/54),54% (62/114),6,0,80% (8/10),40% (4/10),60% (12/20),[],[],[],[],[],2.53
06.01. 22:30,Sell K.,2,6,6,,,,6,2,57%,85% (22/26),70% (14/20),0% (0/0),40% (12/30),55% (11/20),100% (3/3),78% (36/46),46% (23/50),61% (59/96),5,0,100% (9/9),38% (3/8),71% (12/17),[],[],[],[],[],1.41
06.01. 22:30,Bertrand R.,0,2,3,,,,0,1,60%,60% (18/30),45% (9/20),0% (0/3),15% (4/26),30% (6/20),0% (0/0),54% (27/50),22% (10/46),39% (37/96),5,0,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],2.77
CHALLENGER MEN - SINGLES :  Drummondville (Canada),hard,header
16.11.2024,Sell K.,1,7^7,3,5,,,4,3,64%,72% (48/67),53% (20/38),50% (3/6),29% (24/82),44% (16/36),11% (1/9),65% (68/105),34% (40/118),48% (108/223),2,0,81% (13/16),6% (1/17),42% (14/33),[],[],[],[],[],2.51
16.11.2024,Trotter J. K.,2,6^5,6,7,,,13,1,69%,71% (58/82),56% (20/36),89% (8/9),28% (19/67),47% (18/38),50% (3/6),66% (78/118),35% (37/105),52% (115/223),8,0,94% (16/17),19% (3/16),58% (19/33),[],[],[],[],[],1.49
15.11.2024,Sell K.,2,7,7^7,,,,3,2,59%,77% (36/47),50% (16/32),71% (5/7),36% (20/56),59% (17/29),50% (3/6),66% (52/79),44% (37/85),54% (89/164),5,0,83% (10/12),25% (3/12),54% (13/24),[],[],[],[],[],2.31
15.11.2024,Holt B.,0,5,6^5,,,,1,3,66%,64% (36/56),41% (12/29),50% (3/6),23% (11/47),50% (16/32),29% (2/7),56% (48/85),34% (27/79),46% (75/164),5,0,75% (9/12),17% (2/12),46% (11/24),[],[],[],[],[],1.57
12.11.2024,Sell K.,2,6,4,6,,,3,1,58%,62% (28/45),64% (21/33),40% (2/5),42% (25/59),52% (14/27),31% (5/16),63% (49/78),45% (39/86),54% (88/164),8,0,79% (11/14),38% (5/13),59% (16/27),[],[],[],[],[],1.28
12.11.2024,Aguilar J. C. M.,1,4,6,1,,,4,3,69%,58% (34/59),48% (13/27),69% (11/16),38% (17/45),36% (12/33),60% (3/5),55% (47/86),37% (29/78),46% (76/164),2,0,62% (8/13),21% (3/14),41% (11/27),[],[],[],[],[],3.47
CHALLENGER MEN - SINGLES :  Knoxville (USA),hard,header
08.11.2024,Sell K.,1,6,5,1,,,7,1,68%,72% (43/60),32% (9/28),56% (5/9),28% (18/65),46% (11/24),33% (2/6),59% (52/88),33% (29/89),46% (81/177),5,1,71% (10/14),14% (2/14),43% (12/28),[],[],[],[],[],1.86
08.11.2024,Spizzirri E.,2,3,7,6,,,6,2,73%,72% (47/65),54% (13/24),67% (4/6),28% (17/60),68% (19/28),44% (4/9),67% (60/89),41% (36/88),54% (96/177),5,0,86% (12/14),29% (4/14),57% (16/28),[],[],[],[],[],1.86
05.11.2024,Sell K.,2,6,6,,,,4,1,62%,78% (18/23),57% (8/14),67% (2/3),63% (17/27),79% (11/14),67% (6/9),70% (26/37),68% (28/41),69% (54/78),8,0,86% (6/7),100% (6/6),92% (12/13),[],[],[],[],[],1.23
05.11.2024,Mitsui S.,0,0,1,,,,0,1,66%,37% (10/27),21% (3/14),33% (3/9),22% (5/23),43% (6/14),33% (1/3),32% (13/41),30% (11/37),31% (24/78),2,0,0% (0/6),14% (1/7),8% (1/13),[],[],[],[],[],3.90
CHALLENGER MEN - SINGLES :  Curitiba (Brazil),clay,header
24.10.2024,Sell K.,1,6^5,6,5,,,8,2,53%,71% (37/52),60% (28/47),40% (2/5),26% (18/70),32% (6/19),50% (3/6),65% (64/98),27% (24/89),47% (88/187),1,0,82% (14/17),19% (3/16),52% (17/33),[],[],[],[],[],1.44
24.10.2024,Alves M.,2,7^7,3,7,,,9,0,79%,74% (52/70),68% (13/19),50% (3/6),29% (15/52),40% (19/47),60% (3/5),73% (65/89),35% (34/98),53% (99/187),9,0,81% (13/16),18% (3/17),48% (16/33),[],[],[],[],[],2.66
22.10.2024,Sell K.,2,6,6,,,,2,0,66%,63% (17/27),86% (12/14),0% (0/1),35% (8/23),75% (18/24),63% (5/8),71% (29/41),55% (26/47),63% (55/88),7,0,88% (7/8),63% (5/8),75% (12/16),[],[],[],[],[],1.69
22.10.2024,Rocha H.,0,4,0,,,,1,4,49%,65% (15/23),25% (6/24),38% (3/8),37% (10/27),14% (2/14),100% (1/1),45% (21/47),29% (12/41),38% (33/88),3,0,38% (3/8),13% (1/8),25% (4/16),[],[],[],[],[],2.09
CHALLENGER MEN - SINGLES :  Campinas (Brazil),clay,header
18.10.2024,Sell K.,1,3,6,1,,,2,1,61%,75% (27/36),39% (9/23),50% (4/8),33% (16/48),55% (16/29),60% (3/5),61% (36/59),42% (32/77),50% (68/136),3,2,64% (7/11),25% (3/12),43% (10/23),[],[],[],[],[],2.33
18.10.2024,Ugo Carabelli C.,2,6,1,6,,,6,1,62%,67% (32/48),45% (13/29),40% (2/5),25% (9/36),61% (14/23),50% (4/8),58% (45/77),39% (23/59),50% (68/136),7,0,75% (9/12),36% (4/11),57% (13/23),[],[],[],[],[],1.56
15.10.2024,Sell K.,2,7,6,,,,5,2,53%,70% (32/46),40% (16/40),86% (12/14),50% (14/28),50% (20/40),83% (5/6),56% (48/86),50% (34/68),53% (82/154),7,0,80% (8/10),45% (5/11),62% (13/21),[],[],[],[],[],1.28
15.10.2024,Dutra Da Silva D.,0,5,3,,,,3,7,41%,50% (14/28),50% (20/40),17% (1/6),30% (14/46),60% (24/40),14% (2/14),50% (34/68),44% (38/86),47% (72/154),3,0,55% (6/11),20% (2/10),38% (8/21),[],[],[],[],[],3.47
CHALLENGER MEN - SINGLES :  Campinas (Brazil) - Qualification,clay,header
14.10.2024,Sell K.,2,6,6,,,,1,1,54%,65% (24/37),58% (18/31),78% (7/9),32% (10/31),67% (16/24),44% (4/9),62% (42/68),47% (26/55),55% (68/123),6,0,80% (8/10),44% (4/9),63% (12/19),[],[],[],[],[],1.45
14.10.2024,Nijboer R.,0,4,3,,,,1,7,56%,58% (18/31),46% (11/24),56% (5/9),43% (16/37),32% (10/31),22% (2/9),53% (29/55),38% (26/68),45% (55/123),4,1,56% (5/9),20% (2/10),37% (7/19),[],[],[],[],[],2.63
13.10.2024,Sell K.,2,6,6,,,,3,3,47%,72% (23/32),64% (23/36),92% (12/13),29% (10/34),65% (11/17),100% (3/3),68% (46/68),41% (21/51),56% (67/119),7,0,90% (9/10),33% (3/9),63% (12/19),[],[],[],[],[],1.30
13.10.2024,Casanova H.,0,4,3,,,,1,3,67%,71% (24/34),35% (6/17),0% (0/3),28% (9/32),36% (13/36),8% (1/13),59% (30/51),32% (22/68),44% (52/119),3,1,67% (6/9),10% (1/10),37% (7/19),[],[],[],[],[],3.35
CHALLENGER MEN - SINGLES :  Tiburon (USA),hard,header
05.10.2024,Sell K.,0,5,0,,,,0,4,51%,61% (17/28),22% (6/27),40% (4/10),34% (10/29),41% (11/27),40% (2/5),42% (23/55),38% (21/56),40% (44/111),2,1,33% (3/9),22% (2/9),28% (5/18),[],[],[],[],[],2.66
05.10.2024,Basavareddy N.,2,7,6,,,,2,2,52%,66% (19/29),59% (16/27),60% (3/5),39% (11/28),78% (21/27),60% (6/10),63% (35/56),58% (32/55),60% (67/111),8,0,78% (7/9),67% (6/9),72% (13/18),[],[],[],[],[],1.44
03.10.2024,Sell K.,2,6,6,,,,3,0,64%,83% (24/29),63% (10/16),0% (0/1),38% (13/34),58% (11/19),100% (4/4),76% (34/45),45% (24/53),59% (58/98),6,0,89% (8/9),44% (4/9),67% (12/18),[],[],[],[],[],2.39
